District,Member,Party,Race,Image Link,Voter Margin
96,Angela Cockerham,Independent,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Angela_Cockerham.jpg,1
97,Sam Mims,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/mims.jpg,0.694
98,Daryl Porter Jr.,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Daryl_Porter_Jr.jpg,1
99,Bill Pigott,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/bill-pigott.jpg,0.842
100,Ken Morgan,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/morgan.jpg,1
101,Kent McCarty,Republican,White,https://data.openstates.org/images/small/ocd-person/63655fb4-af7a-4b96-95f0-5aa1bd93da62,1
102,Missy Warren McGee,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/MissyMcGee.jpg,1
103,Percy Watson,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Percy_Watson.jpg,1
104,Larry Byrd,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Larry_Byrd.jpg,0.865
105,Elliot Burch,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/ElliotBurch.jpg,0.83
106,Jansen Owen,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/71FE1CE2-6F6C-423D-9BEA-9D91B3E2149B.jpeg,1
107,Steve Lott,Republican,White,https://bloximages.chicago2.vip.townnews.com/stonecountyenterprise.com/content/tncms/assets/v3/editorial/2/fa/2faf492e-910b-11ed-8a24-b33c741f2b91/63bd9eedb8c9d.image.jpg?resize=333%2C500,1
108,Stacey Hobgood Wilkes,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Stacey_Wilkes.jpg,1
109,Manly Barton,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Manly_Barton.jpg,1
110,Jeramey Anderson,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Jeramey_Anderson.jpg,1
111,Jimmy Fondren,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Jimmy_Fondren.jpg,1
112,John Read,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/John_Read.jpg,1
113,"Henry B. Zuber, III",Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Zuber2.jpg,1
114,Jeffrey S. Guice,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/guice.jpg,0.821
115,Zachary Grady,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/ZacharyGrady.jpg,1
116,Casey Eure,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/CaseyEure.jpg,1
117,Kevin Felsher,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Kevin_Felsher_20230521_074941.jpeg,1
118,Greg Haney,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Greg_Haney.jpg,1
119,Jeffrey Hulum III,Democratic,Black,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/20190318_215254.jpg,1
120,Richard Bennett,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/RichardBennett.jpg,0.8
121,Carolyn Crawford,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Carolyn_Crawford.jpg,0.63
122,Brent Anderson,Republican,White,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/80182230_img_6905.jpg,0.788
